Date,ticker,instrument,open,high,low,close,volume
2016-10-28,IBM,IBM,147.28,147.65,145.49,145.9,3822607
2016-10-31,IBM,IBM,146.04,147.54,146.04,146.93,3716647
2016-11-01,IBM,IBM,146.75,147.14,145.07,146.07,3338727
2016-11-02,IBM,IBM,145.77,146.61,145.0,145.27,3215822
2016-11-03,IBM,IBM,145.8,146.98,145.12,145.67,3011225
2016-11-04,IBM,IBM,145.7,146.88,145.19,145.73,2584038
2016-11-07,IBM,IBM,147.22,149.24,147.07,148.87,3979925
2016-11-08,IBM,IBM,147.76,149.07,146.33,148.35,4102307
2016-11-09,IBM,IBM,146.23,148.72,144.36,148.0,5652270
2016-11-10,IBM,IBM,150.73,154.07,150.66,153.17,8070727
2016-11-11,IBM,IBM,152.93,154.24,152.32,154.18,4651144
2016-11-14,IBM,IBM,154.16,154.74,150.65,151.25,5435539
2016-11-15,IBM,IBM,151.45,152.15,150.62,151.69,3636942
2016-11-16,IBM,IBM,151.49,152.53,151.08,152.28,2356429
2016-11-17,IBM,IBM,152.22,152.9,151.86,152.77,2365215
2016-11-18,IBM,IBM,152.77,153.65,152.21,153.34,3118754
2016-11-21,IBM,IBM,153.62,155.83,153.32,155.61,4850407
2016-11-22,IBM,IBM,155.83,155.83,154.83,155.52,2898257
2016-11-23,IBM,IBM,154.82,155.24,154.26,154.86,2356324
2016-11-25,IBM,IBM,154.71,156.01,154.71,155.97,1679144
2016-11-28,IBM,IBM,156.02,157.42,155.54,157.28,4654072
2016-11-29,IBM,IBM,156.79,157.18,155.86,156.34,3293017
2016-11-30,IBM,IBM,156.17,156.6,155.08,155.09,4600099
2016-12-01,IBM,IBM,154.83,155.07,151.34,152.79,4848942
2016-12-02,IBM,IBM,152.01,153.24,151.44,152.98,2866981
2016-12-05,IBM,IBM,153.78,154.06,152.57,152.81,3605667
2016-12-06,IBM,IBM,153.09,153.72,151.94,153.3,2990514
2016-12-07,IBM,IBM,153.54,157.92,153.34,157.54,4639115
2016-12-08,IBM,IBM,157.62,158.7,157.0,158.09,3416654
2016-12-09,IBM,IBM,157.92,159.39,157.36,159.2,3291657
2016-12-12,IBM,IBM,159.39,159.46,157.81,158.22,3548346
2016-12-13,IBM,IBM,158.39,162.48,158.39,160.89,6205186
2016-12-14,IBM,IBM,160.97,162.42,160.09,161.1,4313913
2016-12-15,IBM,IBM,160.62,162.38,160.4,160.63,3544476
2016-12-16,IBM,IBM,161.54,161.67,158.76,159.4,7448148
2016-12-19,IBM,IBM,159.49,159.9,158.7,159.35,3091871
2016-12-20,IBM,IBM,160.12,160.85,159.13,160.23,2274632
2016-12-21,IBM,IBM,158.94,160.55,157.98,159.97,3740182
2016-12-22,IBM,IBM,160.0,160.83,159.25,159.71,2931520
